lambda,a,root_mean square test error,root_mean square training error
0.001,0.1,0.0991507802643,0.0995993153191
0.001,0.5,0.474816428597,0.489869741471
0.001,1,1.1071203261,0.982746124539
0.001,2,2.33694880967,1.97175636707
0.001,10,10.266096709,10.0154736935
0.01,0.1,0.0962507488853,0.100287685809
0.01,0.5,0.540593362427,0.494758171863
0.01,1,1.02143160886,0.967313772213
0.01,2,2.12639497776,1.8315653495
0.01,10,10.2449736459,9.97456758868
0.1,0.1,0.110866887815,0.0964549623951
0.1,0.5,0.448302011012,0.487859420814
0.1,1,1.082274556,1.00302372977
0.1,2,2.21348109322,2.01445306072
0.1,10,9.03672256751,9.60258406461
1,0.1,0.127117187003,0.108909769889
1,0.5,0.513398485148,0.492398818353
1,1,1.08876579846,0.949457575818
1,2,2.10970097303,2.10227776524
1,10,10.4170219459,9.90444606916
10,0.1,0.264959359969,0.167639701206
10,0.5,0.537381963783,0.506822088887
10,1,1.11067268413,1.02255043348
10,2,1.95461527055,1.95598381214
10,10,10.6684687711,10.2116503984
100,0.1,0.631854432864,0.356380063268
100,0.5,0.804510689749,0.586003533341
100,1,1.16199438785,1.06371781197
100,2,1.97147302399,2.04676558882
100,10,9.53143355795,10.0309137982
1000,0.1,1.11990287254,0.638649877875
1000,0.5,1.2076334953,0.767368440685
1000,1,1.46430539957,1.17606994104
1000,2,2.34447584139,2.08433736802
1000,10,10.0225924349,10.3543241693
